TIME,TARGET,PACKET,CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_MIRCOSECS,LONGITUDE,LATITUDE,ALTITUDE,DEV_LAT,DEV_LON,DEV_ALT,SOLN_AGE,SATS_TRACKED,SATS_SOLN,SOLUTION_INFO,DATUM,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,PACKET_TIME
2023-08-11T19:49:40.001Z,GPS,GEODETIC,3121,49153,83,1691783380,0.2654269337654114,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783380.0011399,2023/08/11 19:49:40.001,1691804216.6374955,2023/08/12 01:36:56.637,180,2023-08-11 19:49:40 +0000
2023-08-11T19:49:47.001Z,GPS,GEODETIC,3121,49154,83,1691783387,0.33457763493061066,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783387.001437,2023/08/11 19:49:47.001,1691804216.6408784,2023/08/12 01:36:56.640,181,2023-08-11 19:49:47 +0000
2023-08-11T19:49:57.001Z,GPS,GEODETIC,3121,49155,83,1691783397,0.3708992153406143,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783397.001593,2023/08/11 19:49:57.001,1691804216.642924,2023/08/12 01:36:56.642,182,2023-08-11 19:49:57 +0000
2023-08-11T19:50:07.001Z,GPS,GEODETIC,3121,49156,83,1691783407,0.3727618604898453,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783407.001601,2023/08/11 19:50:07.001,1691804216.6451218,2023/08/12 01:36:56.645,183,2023-08-11 19:50:07 +0000
2023-08-11T19:50:17.001Z,GPS,GEODETIC,3121,49157,83,1691783417,0.3681052476167679,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783417.001581,2023/08/11 19:50:17.001,1691804216.6470354,2023/08/12 01:36:56.647,184,2023-08-11 19:50:17 +0000
2023-08-11T19:50:27.001Z,GPS,GEODETIC,3121,49158,83,1691783427,0.4637986421585083,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783427.001992,2023/08/11 19:50:27.001,1691804216.6488757,2023/08/12 01:36:56.648,185,2023-08-11 19:50:27 +0000
2023-08-11T19:50:37.001Z,GPS,GEODETIC,3121,49159,83,1691783437,0.41746534407138824,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783437.001793,2023/08/11 19:50:37.001,1691804216.6512086,2023/08/12 01:36:56.651,186,2023-08-11 19:50:37 +0000
2023-08-11T19:50:47.002Z,GPS,GEODETIC,3121,49160,83,1691783447,0.6419140845537186,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783447.002757,2023/08/11 19:50:47.002,1691804216.6535509,2023/08/12 01:36:56.653,187,2023-08-11 19:50:47 +0000
2023-08-11T19:50:57.016Z,GPS,GEODETIC,3121,49161,83,1691783457,3.8477592170238495,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783457.016526,2023/08/11 19:50:57.016,1691804216.6589777,2023/08/12 01:36:56.658,188,2023-08-11 19:50:57 +0000
2023-08-11T19:51:07.016Z,GPS,GEODETIC,3121,49162,83,1691783467,3.895023837685585,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783467.016729,2023/08/11 19:51:07.016,1691804216.6611056,2023/08/12 01:36:56.661,189,2023-08-11 19:51:07 +0000
2023-08-11T19:51:17.016Z,GPS,GEODETIC,3121,49163,83,1691783477,3.931112587451935,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783477.0168839,2023/08/11 19:51:17.016,1691804216.6632829,2023/08/12 01:36:56.663,190,2023-08-11 19:51:17 +0000
2023-08-11T19:51:27.016Z,GPS,GEODETIC,3121,49164,83,1691783487,3.945315256714821,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783487.016945,2023/08/11 19:51:27.016,1691804216.6652021,2023/08/12 01:36:56.665,191,2023-08-11 19:51:27 +0000
2023-08-11T19:51:47.017Z,GPS,GEODETIC,3121,49165,83,1691783507,3.9997976273298264,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783507.0171788,2023/08/11 19:51:47.017,1691804216.6671495,2023/08/12 01:36:56.667,192,2023-08-11 19:51:47 +0000
2023-08-11T19:51:57.017Z,GPS,GEODETIC,3121,49166,83,1691783517,3.998400643467903,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783517.017173,2023/08/11 19:51:57.017,1691804216.669403,2023/08/12 01:36:56.669,193,2023-08-11 19:51:57 +0000
2023-08-11T19:52:07.017Z,GPS,GEODETIC,3121,49167,83,1691783527,4.00003045797348,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783527.01718,2023/08/11 19:52:07.017,1691804216.672828,2023/08/12 01:36:56.672,194,2023-08-11 19:52:07 +0000
2023-08-11T19:52:17.017Z,GPS,GEODETIC,3121,49168,83,1691783537,4.073139280080795,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783537.017494,2023/08/11 19:52:17.017,1691804216.6748667,2023/08/12 01:36:56.674,195,2023-08-11 19:52:17 +0000
2023-08-11T19:52:27.017Z,GPS,GEODETIC,3121,49169,83,1691783547,4.102243110537529,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783547.017619,2023/08/11 19:52:27.017,1691804216.6778014,2023/08/12 01:36:56.677,196,2023-08-11 19:52:27 +0000
2023-08-11T19:52:37.017Z,GPS,GEODETIC,3121,49170,83,1691783557,4.0940940380096436,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783557.017584,2023/08/11 19:52:37.017,1691804216.6801503,2023/08/12 01:36:56.680,197,2023-08-11 19:52:37 +0000
2023-08-11T19:52:47.017Z,GPS,GEODETIC,3121,49171,83,1691783567,4.1031744331121445,0,0,0,0,0,0,0,0,0,16410;INSUFFICIENT_OBS,WGS84,1691783567.017623,2023/08/11 19:52:47.017,1691804216.6824596,2023/08/12 01:36:56.682,198,2023-08-11 19:52:47 +0000
