TIME,TARGET,PACKET,CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_MIRCOSECS,TEAM,MESSAGE,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,PACKET_TIME
2023-08-11T19:52:31.062Z,SCRIPTUDP,KIDDIE,3185,49153,85,1691783551,14.554476365447044,poland,,1691783551.0625112,2023/08/11 19:52:31.062,1691811116.4894185,2023/08/12 03:31:56.489,7,2023-08-11 19:52:31 +0000
2023-08-11T20:02:31.055Z,SCRIPTUDP,KIDDIE,3185,49154,85,1691784151,12.811506167054176,poland,gibflag,1691784151.0550249,2023/08/11 20:02:31.055,1691811116.4909253,2023/08/12 03:31:56.490,8,2023-08-11 20:02:31 +0000
2023-08-11T20:12:01.023Z,SCRIPTUDP,KIDDIE,3185,49155,85,1691784721,5.506444722414017,jmp,FLAG,1691784721.02365,2023/08/11 20:12:01.023,1691804184.259518,2023/08/12 01:36:24.259,2,2023-08-11 20:12:01 +0000
2023-08-11T21:08:01.053Z,SCRIPTUDP,KIDDIE,3185,49156,85,1691788081,12.509990483522415,krautsat,noon,1691788081.05373,2023/08/11 21:08:01.053,1691804179.408676,2023/08/12 01:36:19.408,1,2023-08-11 21:08:01 +0000
2023-08-11T21:44:33.001Z,SCRIPTUDP,KIDDIE,3185,49157,85,1691790273,0.4263129085302353,jmp,FLAG,1691790273.0018308,2023/08/11 21:44:33.001,1691804189.012781,2023/08/12 01:36:29.012,3,2023-08-11 21:44:33 +0000
2023-08-11T23:52:52.007Z,SCRIPTUDP,KIDDIE,3185,49158,85,1691797972,1.651933416724205,poland,,1691797972.007095,2023/08/11 23:52:52.007,1691811122.4525292,2023/08/12 03:32:02.452,9,2023-08-11 23:52:52 +0000
2023-08-11T23:53:11.002Z,SCRIPTUDP,KIDDIE,3185,49159,85,1691797991,0.5906913429498672,poland,gibflag,1691797991.002537,2023/08/11 23:53:11.002,1691811122.4535863,2023/08/12 03:32:02.453,10,2023-08-11 23:53:11 +0000
2023-08-12T01:44:40.041Z,SCRIPTUDP,KIDDIE,3185,49160,85,1691804680,9.675277397036552,jmp,FLAG,1691804680.041555,2023/08/12 01:44:40.041,1691811104.7730901,2023/08/12 03:31:44.773,5,2023-08-12 01:44:40 +0000
2023-08-12T01:58:47.060Z,SCRIPTUDP,KIDDIE,3185,49161,85,1691805527,13.975193724036217,mhackeroni,DIOPORCO,1691805527.060023,2023/08/12 01:58:47.060,1691811099.124955,2023/08/12 03:31:39.124,4,2023-08-12 01:58:47 +0000
2023-08-12T02:03:19.059Z,SCRIPTUDP,KIDDIE,3185,49162,85,1691805799,13.960292562842369,poland,gibflag,1691805799.059959,2023/08/12 02:03:19.059,1691811110.8284895,2023/08/12 03:31:50.828,6,2023-08-12 02:03:19 +0000
2023-08-13T03:18:09.050Z,SCRIPTUDP,KIDDIE,3185,49153,85,1691896689,11.796597391366959,spacebitsrus,BINARY,1691896689.050666,2023/08/13 03:18:09.050,1691898743.4091988,2023/08/13 03:52:23.409,11,2023-08-13 03:18:09 +0000
2023-08-13T03:18:09.051Z,SCRIPTUDP,KIDDIE,3185,49154,85,1691896689,11.981232091784477,spacebitsrus,Flag,1691896689.051459,2023/08/13 03:18:09.051,1691898743.4105656,2023/08/13 03:52:23.410,12,2023-08-13 03:18:09 +0000
2023-08-13T03:18:09.053Z,SCRIPTUDP,KIDDIE,3185,49155,85,1691896689,12.402888387441635,spacebitsrus,Flag %s,1691896689.05327,2023/08/13 03:18:09.053,1691898743.4117193,2023/08/13 03:52:23.411,13,2023-08-13 03:18:09 +0000
