TIME,TARGET,PACKET,CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_MIRCOSECS,SCRIPT,ALIVE,STATUS,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,PACKET_TIME
2023-08-11T19:52:30.039Z,SCRIPT,STATUS,3200,49153,263,1691783550,9.187264367938042,/tmp/fsw/ironbank/run/poland_1.lua,0,0,1691783550.039459,2023/08/11 19:52:30.039,1691809923.515697,2023/08/12 03:12:03.515,5,2023-08-11 19:52:30 +0000
2023-08-11T19:52:30.042Z,SCRIPT,STATUS,3200,49154,263,1691783550,9.82196070253849,/tmp/fsw/ironbank/run/poland_1.lua,1,1,1691783550.042185,2023/08/11 19:52:30.042,1691809923.5166814,2023/08/12 03:12:03.516,6,2023-08-11 19:52:30 +0000
2023-08-11T20:02:30.038Z,SCRIPT,STATUS,3200,49155,263,1691784150,8.977251127362251,/tmp/fsw/ironbank/run/poland_2.lua,0,0,1691784150.0385568,2023/08/11 20:02:30.038,1691809923.5178313,2023/08/12 03:12:03.517,7,2023-08-11 20:02:30 +0000
2023-08-11T20:02:30.041Z,SCRIPT,STATUS,3200,49156,263,1691784150,9.625684469938278,/tmp/fsw/ironbank/run/poland_2.lua,1,1,1691784150.041342,2023/08/11 20:02:30.041,1691809923.5187283,2023/08/12 03:12:03.518,8,2023-08-11 20:02:30 +0000
2023-08-11T20:12:00.038Z,SCRIPT,STATUS,3200,49157,263,1691784720,9.034527465701103,/tmp/fsw/ironbank/run/jmp_1.lua,0,0,1691784720.0388029,2023/08/11 20:12:00.038,1691809912.8946085,2023/08/12 03:11:52.894,1,2023-08-11 20:12:00 +0000
2023-08-11T20:12:00.041Z,SCRIPT,STATUS,3200,49158,263,1691784720,9.658047929406166,/tmp/fsw/ironbank/run/jmp_1.lua,1,1,1691784720.041481,2023/08/11 20:12:00.041,1691809912.8955677,2023/08/12 03:11:52.895,2,2023-08-11 20:12:00 +0000
2023-08-11T20:41:00.038Z,SCRIPT,STATUS,3200,49159,263,1691786460,9.012175723910332,/tmp/fsw/ironbank/run/spacebitsrus_0.lua,0,0,1691786460.038707,2023/08/11 20:41:00.038,1691809939.4848764,2023/08/12 03:12:19.484,17,2023-08-11 20:41:00 +0000
2023-08-11T20:41:00.041Z,SCRIPT,STATUS,3200,49160,263,1691786460,9.637093171477318,/tmp/fsw/ironbank/run/spacebitsrus_0.lua,1,1,1691786460.0413911,2023/08/11 20:41:00.041,1691809939.486161,2023/08/12 03:12:19.486,18,2023-08-11 20:41:00 +0000
2023-08-11T20:43:00.038Z,SCRIPT,STATUS,3200,49161,263,1691786580,8.970964699983597,/tmp/fsw/ironbank/run/spacebitsrus_1.lua,0,0,1691786580.03853,2023/08/11 20:43:00.038,1691809939.4895172,2023/08/12 03:12:19.489,19,2023-08-11 20:43:00 +0000
2023-08-11T20:43:00.041Z,SCRIPT,STATUS,3200,49162,263,1691786580,9.58307646214962,/tmp/fsw/ironbank/run/spacebitsrus_1.lua,1,1,1691786580.041159,2023/08/11 20:43:00.041,1691809939.490895,2023/08/12 03:12:19.490,20,2023-08-11 20:43:00 +0000
