TIME,TARGET,PACKET,CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_MIRCOSECS,TIME_JD,GPS_POSITION,Q_AXIS,Q_SCALAR,TEAM,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,PACKET_TIME
2023-08-11T19:53:30.043Z,GEOFENCE,SNAP_META,3106,49153,57,1691783610,10.023824870586395,2423642.930555787,"[68829.265625,68829.265625,68829.265625]","[0,0,0]",0,poland,1691783610.043052,2023/08/11 19:53:30.043,1691804288.4811301,2023/08/12 01:38:08.481,1,2023-08-11 19:53:30 +0000
2023-08-11T20:14:14.036Z,GEOFENCE,SNAP_META,3106,49154,57,1691784854,8.609844371676445,2423642.930555787,"[69341.265625,69341.265625,69341.265625]","[0,0,0]",0,jmp,1691784854.036979,2023/08/11 20:14:14.036,1691809992.8932085,2023/08/12 03:13:12.893,2,2023-08-11 20:14:14 +0000
2023-08-11T20:15:00.037Z,GEOFENCE,SNAP_META,3106,49155,57,1691784900,8.625676855444908,2423642.930555787,"[69853.265625,69853.265625,69853.265625]","[0,0,0]",0,jmp,1691784900.0370471,2023/08/11 20:15:00.037,1691809992.8952222,2023/08/12 03:13:12.895,3,2023-08-11 20:15:00 +0000
2023-08-12T09:57:40.005Z,GEOFENCE,SNAP_META,3106,49153,57,1691834260,1.3099052011966705,2423643.915216898,"[69341.265625,69341.265625,69341.265625]","[0.4220866560935974,0.7763093113899231,-0.000013587223293143325]",0.46817392110824585,jmp,1691834260.0056262,2023/08/12 09:57:40.005,1691899048.4360166,2023/08/13 03:57:28.436,6,2023-08-12 09:57:40 +0000
2023-08-12T11:32:03.002Z,GEOFENCE,SNAP_META,3106,49154,57,1691839923,0.5722977221012115,2423643.980831134,"[68829.265625,68829.265625,68829.265625]","[0.02697102725505829,-0.9389697313308716,0.00001111452093027765]",0.3429407477378845,poland,1691839923.002458,2023/08/12 11:32:03.002,1691899057.9195223,2023/08/13 03:57:37.919,9,2023-08-12 11:32:03 +0000
2023-08-12T11:43:34.003Z,GEOFENCE,SNAP_META,3106,49155,57,1691840614,0.7709022611379623,2423643.9888153933,"[69341.265625,69341.265625,69341.265625]","[0.46165236830711365,-0.822945773601532,0.3223663866519928]",-0.07561267912387848,poland,1691840614.0033112,2023/08/12 11:43:34.003,1691899057.9206388,2023/08/13 03:57:37.920,10,2023-08-12 11:43:34 +0000
2023-08-12T11:43:43.002Z,GEOFENCE,SNAP_META,3106,49156,57,1691840623,0.5688052624464035,2423643.988948611,"[69341.265625,69341.265625,69341.265625]","[0.4597208797931671,-0.8249098062515259,0.31880879402160645]",-0.08087868988513947,poland,1691840623.002443,2023/08/12 11:43:43.002,1691899057.9217587,2023/08/13 03:57:37.921,11,2023-08-12 11:43:43 +0000
2023-08-12T13:11:38.002Z,GEOFENCE,SNAP_META,3106,49157,57,1691845898,0.5844049155712128,2423644.049916435,"[68829.265625,68829.265625,68829.265625]","[-0.931430995464325,0.00004560198794933967,-0.00005448775118566118]",-0.3639180064201355,mhackeroni,1691845898.00251,2023/08/12 13:11:38.002,1691899067.409513,2023/08/13 03:57:47.409,15,2023-08-12 13:11:38 +0000
2023-08-12T13:20:16.003Z,GEOFENCE,SNAP_META,3106,49158,57,1691846416,0.8011702448129654,2423644.055934375,"[68829.265625,68829.265625,68829.265625]","[-0.9464665055274963,-0.24711892008781433,0.0008774506277404726]",-0.20768383145332336,mhackeroni,1691846416.0034409,2023/08/12 13:20:16.003,1691899067.4109619,2023/08/13 03:57:47.410,16,2023-08-12 13:20:16 +0000
2023-08-12T13:21:16.002Z,GEOFENCE,SNAP_META,3106,49159,57,1691846476,0.551808625459671,2423644.0566280093,"[68829.265625,68829.265625,68829.265625]","[-0.9947974681854248,-0.0009327989537268877,0.00006229287100723013]",-0.10186823457479477,mhackeroni,1691846476.00237,2023/08/12 13:21:16.002,1691899067.412011,2023/08/13 03:57:47.412,17,2023-08-12 13:21:16 +0000
